State,Month,Median
ANDAMAN & NICOBAR,04,25.0
ANDAMAN & NICOBAR,05,21.0
ANDAMAN & NICOBAR,06,17.0
ANDHRA PRADESH,03,2.0
ANDHRA PRADESH,04,310.0
ANDHRA PRADESH,05,303.0
ANDHRA PRADESH,06,279.0
ARUNACHAL PRADESH,04,5.0
ARUNACHAL PRADESH,05,6.0
ARUNACHAL PRADESH,06,3.0
ASSAM,04,114.0
ASSAM,05,89.0
ASSAM,06,93.0
Arunachal Pradesh,04,2.0
Arunachal pradesh,05,2.0
BIHAR,04,130.0
BIHAR,05,116.0
BIHAR,06,104.0
Bihar,04,2.0
Bihar,05,1.0
Bihar,06,3.0
CHANDIGARH,03,1.0
CHANDIGARH,04,32.0
CHANDIGARH,05,32.0
CHANDIGARH,06,21.0
CHHATTISGARH,04,62.0
CHHATTISGARH,05,63.0
CHHATTISGARH,06,55.0
Chandigarh,04,2.0
Chandigarh,05,2.0
Chandigarh,06,2.0
DADRA AND NAGAR,04,7.0
DADRA AND NAGAR,05,5.0
DADRA AND NAGAR,06,1.0
DELHI,03,2.0
DELHI,04,425.0
DELHI,05,412.0
DELHI,06,372.0
Delhi,04,12.0
Delhi,05,9.0
Delhi,06,23.0
GOA,03,1.0
GOA,04,87.0
GOA,05,74.0
GOA,06,69.0
Goa,04,4.0
Goa,05,2.0
Goa,06,3.0
Gujarat,03,5.0
Gujarat,04,318.0
Gujarat,05,317.0
Gujarat,06,263.0
HARYANA,03,1.0
HARYANA,04,302.0
HARYANA,05,274.0
HARYANA,06,268.0
HIMACHAL PRADESH,04,43.0
HIMACHAL PRADESH,05,43.0
HIMACHAL PRADESH,06,30.0
JAMMU & KASHMIR,04,66.0
JAMMU & KASHMIR,05,59.0
JAMMU & KASHMIR,06,72.0
JHARKHAND,04,88.0
JHARKHAND,05,97.0
JHARKHAND,06,73.0
KARNATAKA,03,5.0
KARNATAKA,04,748.0
KARNATAKA,05,649.0
KARNATAKA,06,688.0
KERALA,03,1.0
KERALA,04,335.0
KERALA,05,301.0
KERALA,06,276.0
LADAKH,04,4.0
LADAKH,05,3.0
LADAKH,06,1.0
LAKSHADWEEP,06,1.0
MADHYA PRADESH,04,185.0
MADHYA PRADESH,05,177.0
MADHYA PRADESH,06,141.0
MAHARASHTRA,03,5.0
MAHARASHTRA,04,908.0
MAHARASHTRA,05,862.0
MAHARASHTRA,06,795.0
MANIPUR,04,31.0
MANIPUR,05,22.0
MANIPUR,06,8.0
MEGHALAYA,04,14.0
MEGHALAYA,05,9.0
MEGHALAYA,06,6.0
MIZORAM,04,5.0
MIZORAM,05,8.0
MIZORAM,06,9.0
Manipur,04,1.0
Mizoram,06,1.0
NAGALAND,04,8.0
NAGALAND,05,17.0
NAGALAND,06,19.0
New Delhi,04,10.0
New Delhi,05,4.0
New Delhi,06,8.0
ODISHA,03,2.0
ODISHA,04,168.0
ODISHA,05,109.0
ODISHA,06,128.0
Odisha,04,2.0
Orissa,06,1.0
PB,04,1.0
PUDUCHERRY,04,24.0
PUDUCHERRY,05,26.0
PUDUCHERRY,06,22.0
PUNJAB,04,154.0
PUNJAB,05,161.0
PUNJAB,06,126.0
Pondicherry,05,1.0
Punjab,04,2.0
Punjab,05,6.0
Punjab,06,3.0
RAJASTHAN,03,1.0
RAJASTHAN,04,165.0
RAJASTHAN,05,176.0
RAJASTHAN,06,150.0
Rajasthan,04,6.0
Rajasthan,05,7.0
Rajasthan,06,1.0
SIKKIM,04,15.0
SIKKIM,05,6.0
SIKKIM,06,11.0
Sikkim,06,1.0
TAMIL NADU,03,4.0
TAMIL NADU,04,535.0
TAMIL NADU,05,592.0
TAMIL NADU,06,493.0
TELANGANA,03,2.0
TELANGANA,04,581.0
TELANGANA,05,562.0
TELANGANA,06,549.0
TRIPURA,03,1.0
TRIPURA,04,17.0
TRIPURA,05,4.0
TRIPURA,06,6.0
UTTAR PRADESH,03,6.0
UTTAR PRADESH,04,532.0
UTTAR PRADESH,05,543.0
UTTAR PRADESH,06,469.0
UTTARAKHAND,04,104.0
UTTARAKHAND,05,104.0
UTTARAKHAND,06,64.0
WEST BENGAL,03,7.0
WEST BENGAL,04,444.0
WEST BENGAL,05,361.0
WEST BENGAL,06,340.0
bihar,05,1.0
delhi,04,1.0
delhi,05,1.0
delhi,06,4.0
goa,05,1.0
punjab,04,4.0
punjab,05,2.0
rajasthan,04,1.0
